label_name,label_points,label_image,label_instagram
LOUDBIT,51376 POINTS,https://www.beatstats.com/images/label/small/2049.jpg?version=59602,https://www.instagram.com/LOUDBIT
POSITIVA,50325 POINTS,https://www.beatstats.com/images/label/small/19119.jpg?version=47395,https://www.instagram.com/POSITIVA
MAINSTAGE MUSIC,49232 POINTS,https://www.beatstats.com/images/label/small/25966.jpg?version=48883,https://www.instagram.com/MAINSTAGE MUSIC
RENAISSANCE RECORDS,48432 POINTS,https://www.beatstats.com/images/label/small/58362.jpg?version=27288,https://www.instagram.com/RENAISSANCE RECORDS
SINK OR SWIM,48263 POINTS,https://www.beatstats.com/images/label/small/78355.jpg?version=15885,https://www.instagram.com/SINK OR SWIM
SPACE MOTION RECORDS,48111 POINTS,https://www.beatstats.com/images/label/small/70782.jpg?version=301,https://www.instagram.com/SPACE MOTION RECORDS
UNIVERSAL-ISLAND RECORDS LTD.,47643 POINTS,https://www.beatstats.com/images/label/small/69982.jpg?version=26486,https://www.instagram.com/UNIVERSAL-ISLAND RECORDS LTD.
WALL RECORDINGS,47136 POINTS,https://www.beatstats.com/images/label/small/8408.jpg?version=50264,https://www.instagram.com/WALL RECORDINGS
CUBE RECORDINGS,47009 POINTS,https://www.beatstats.com/images/label/small/20698.jpg?version=33694,https://www.instagram.com/CUBE RECORDINGS
CIRCUS RECORDINGS,46836 POINTS,https://www.beatstats.com/images/label/small/10327.jpg?version=14450,https://www.instagram.com/CIRCUS RECORDINGS
TRONIC,46672 POINTS,https://www.beatstats.com/images/label/small/12576.jpg?version=42696,https://www.instagram.com/TRONIC
ERASE RECORDS,46662 POINTS,https://www.beatstats.com/images/label/small/1065.jpg?version=6654,https://www.instagram.com/ERASE RECORDS
MILK & SUGAR,46274 POINTS,https://www.beatstats.com/images/label/small/1552.jpg?version=1185,https://www.instagram.com/MILK & SUGAR
WHAT A MUSIC,45476 POINTS,https://www.beatstats.com/images/label/small/26085.jpg?version=44482,https://www.instagram.com/WHAT A MUSIC
MAU5TRAP,45309 POINTS,https://www.beatstats.com/images/label/small/6446.jpg?version=6429,https://www.instagram.com/MAU5TRAP
VIRGIN EMI,45217 POINTS,https://www.beatstats.com/images/label/small/35197.jpg?version=35842,https://www.instagram.com/VIRGIN EMI
NO DEFINITION,44113 POINTS,https://www.beatstats.com/images/label/small/42440.jpg?version=64395,https://www.instagram.com/NO DEFINITION
TRICK,43030 POINTS,https://www.beatstats.com/images/label/small/75364.jpg?version=29208,https://www.instagram.com/TRICK
REFUNE MUSIC,42868 POINTS,https://www.beatstats.com/images/label/small/2699.jpg?version=13854,https://www.instagram.com/REFUNE MUSIC
PRYDA PRESENTS,42629 POINTS,https://www.beatstats.com/images/label/small/64456.jpg?version=22416,https://www.instagram.com/PRYDA PRESENTS
CAJUAL,42254 POINTS,https://www.beatstats.com/images/label/small/899.jpg?version=62434,https://www.instagram.com/CAJUAL
FLY EYE RECORDS,42117 POINTS,https://www.beatstats.com/images/label/small/12846.jpg?version=38007,https://www.instagram.com/FLY EYE RECORDS
PARLOPHONE UK,41930 POINTS,https://www.beatstats.com/images/label/small/34746.jpg?version=35842,https://www.instagram.com/PARLOPHONE UK
REKIDS,41802 POINTS,https://www.beatstats.com/images/label/small/1907.jpg?version=39839,https://www.instagram.com/REKIDS
MOBILEE RECORDS,41684 POINTS,https://www.beatstats.com/images/label/small/1386.jpg?version=45904,https://www.instagram.com/MOBILEE RECORDS
KNTXT,41593 POINTS,https://www.beatstats.com/images/label/small/80918.jpg?version=42111,https://www.instagram.com/KNTXT
SPINNIN' REMIXES,41566 POINTS,https://www.beatstats.com/images/label/small/43406.jpg?version=53715,https://www.instagram.com/SPINNIN' REMIXES
MOBLACK RECORDS,41540 POINTS,https://www.beatstats.com/images/label/small/37162.jpg?version=49173,https://www.instagram.com/MOBLACK RECORDS
ARMADA SUBJEKT,41275 POINTS,https://www.beatstats.com/images/label/small/60906.jpg?version=35390,https://www.instagram.com/ARMADA SUBJEKT
STEREOHYPE,41264 POINTS,https://www.beatstats.com/images/label/small/85356.jpg?version=4676,https://www.instagram.com/STEREOHYPE
CASA ROSSA,40926 POINTS,https://www.beatstats.com/images/label/small/13196.jpg?version=29457,https://www.instagram.com/CASA ROSSA
PAMPA RECORDS,40887 POINTS,https://www.beatstats.com/images/label/small/13982.jpg?version=52199,https://www.instagram.com/PAMPA RECORDS
GO DEEVA RECORDS,40538 POINTS,https://www.beatstats.com/images/label/small/6385.jpg?version=19297,https://www.instagram.com/GO DEEVA RECORDS
STEREO PRODUCTIONS CATALOG,39995 POINTS,https://www.beatstats.com/images/label/small/467.jpg?version=47442,https://www.instagram.com/STEREO PRODUCTIONS CATALOG
